application_id,id_number,name,nationality,date_of_birth,gender,address,issue_date,expiry_date,issuing_authority
APP-2024-0030,784-1976-2223223-7,Kent Singh,Bangladeshi,1976-06-29,Male,"Apartment 1511, Building 754, City Center, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0031,784-1985-8323828-5,Saeed Al Nahyan,Lebanese,1985-01-25,Male,"Apartment 527, Building 746, Al Nakheel, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0032,784-1993-8120997-5,Rashid Al Nuaimi,Jordanian,1993-05-15,Male,"Apartment 1348, Building 269, Al Majaz, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0033,784-1982-9565200-2,Amna Al Nahyan,Syrian,1982-03-06,Female,"Apartment 1514, Building 947, Al Nakheel, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0034,784-1977-5948466-4,Mohammed Al Qasimi,Lebanese,1977-12-03,Male,"Apartment 1705, Building 567, Al Qasimia, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0035,784-1983-3092863-5,Hamad Al Mazrouei,Syrian,1983-11-11,Male,"Apartment 1491, Building 92, Al Nahyan, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0036,784-1980-8048106-0,Edward Thomas,American,1980-12-24,Male,"Apartment 498, Building 320, City Center, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0037,784-1997-3825821-4,Craig Patel,Bangladeshi,1997-05-06,Male,"Apartment 414, Building 893, Al Majaz, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0038,784-1989-7114756-7,Beverly Perry,Egyptian,1989-10-13,Female,"Apartment 999, Building 108, Al Qasimia, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0039,784-1974-9188629-7,Stephanie Ali,Bangladeshi,1974-10-22,Female,"Apartment 2273, Building 678, City Center, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0040,784-1994-1897189-5,Benjamin Moody,British,1994-11-26,Male,"Apartment 1446, Building 182, Al Karama, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0041,784-1991-8311255-6,Marie Mendoza,British,1991-02-27,Female,"Apartment 1820, Building 967, Al Majaz, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0042,784-2000-7245314-7,Fatima Al Nahyan,Syrian,2000-03-09,Female,"Apartment 262, Building 433, Al Nakheel, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0043,784-2000-9913689-1,Sara Al Nuaimi,Syrian,2000-11-18,Female,"Apartment 1278, Building 50, Al Majaz, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0044,784-1998-7820132-1,Kelly Ahmed,Bangladeshi,1998-04-22,Female,"Apartment 151, Building 961, Tourist Club, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0045,784-2002-2301071-6,Lisa Rahman,Pakistani,2002-02-24,Female,"Apartment 1461, Building 593, Al Qasimia, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0046,784-2002-2071094-7,Connor Ali,Bangladeshi,2002-09-14,Male,"Apartment 1139, Building 896, Al Majaz, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0047,784-1997-1762446-4,John Rahman,Indian,1997-08-05,Male,"Apartment 1974, Building 704, City Center, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0048,784-1993-1985552-6,Aisha Al Nuaimi,Syrian,1993-03-24,Female,"Apartment 2288, Building 91, Al Qasimia, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0049,784-2002-4411031-9,Ali Al Nahyan,Syrian,2002-01-02,Male,"Apartment 330, Building 331, Al Nakheel, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0050,784-1992-4703923-6,Moza Al Qasimi,Syrian,1992-08-29,Female,"Apartment 1260, Building 560, Al Qasimia, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0051,784-1993-4361310-8,Omar Al Shamsi,Lebanese,1993-09-26,Male,"Apartment 1304, Building 372, Al Qasimia, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0052,784-1992-6978242-3,David Miller,Egyptian,1992-06-22,Male,"Apartment 2236, Building 374, Al Reem Island, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0053,784-1993-6070335-2,Jonathan Walsh,Egyptian,1993-04-24,Male,"Apartment 2185, Building 154, Al Nakheel, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0054,784-1972-5395604-0,Shaikha Al Qasimi,Syrian,1972-12-06,Female,"Apartment 999, Building 23, Al Nakheel, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0055,784-1971-2906856-1,Ali Al Maktoum,UAE,1971-10-29,Male,"Apartment 2042, Building 562, City Center, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0056,784-2000-8644723-7,Omar Al Mazrouei,Palestinian,2000-11-20,Male,"Apartment 672, Building 70, Satwa, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0057,784-1982-6306745-3,Donald Kumar,Bangladeshi,1982-04-08,Male,"Apartment 1593, Building 292, Al Qasimia, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0058,784-1991-1068573-4,Natalie Jones,American,1991-08-14,Female,"Apartment 917, Building 639, Al Nakheel, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0059,784-1983-9946645-6,Lisa Patel,Indian,1983-04-21,Female,"Apartment 1662, Building 176, City Center, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0060,784-1983-3916729-0,Luis Sanchez,American,1983-05-09,Male,"Apartment 895, Building 677, Al Qasimia, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0061,784-1974-3954207-5,Omar Al Qasimi,Palestinian,1974-11-24,Male,"Apartment 833, Building 177, Al Reem Island, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0062,784-1993-8712372-3,Aisha Al Qasimi,Syrian,1993-01-20,Female,"Apartment 1098, Building 889, Al Qasimia, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0063,784-1982-2568846-7,Peter Jefferson,American,1982-10-09,Male,"Apartment 1656, Building 787, Al Majaz, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0064,784-1984-5879550-6,Theresa Miller,Egyptian,1984-01-13,Female,"Apartment 388, Building 228, Al Nakheel, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0065,784-1987-3623490-7,Angela Carter,American,1987-01-14,Female,"Apartment 1232, Building 339, Al Majaz, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0066,784-1983-1920012-3,David Ahmed,Pakistani,1983-02-13,Male,"Apartment 703, Building 694, Deira, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0067,784-1990-3461879-2,Eric Williams,British,1990-09-04,Male,"Apartment 1505, Building 850, Al Majaz, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0068,784-1992-6835732-8,Garrett Patel,Bangladeshi,1992-02-08,Male,"Apartment 670, Building 623, Khalifa City, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0069,784-1993-5872891-0,Mohammed Al Maktoum,Palestinian,1993-07-02,Male,"Apartment 951, Building 259, Al Reem Island, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0070,784-2002-4096807-9,Christopher Hancock,Egyptian,2002-05-11,Male,"Apartment 2224, Building 492, City Center, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0071,784-1977-8809470-9,Bryan Edwards,American,1977-08-07,Male,"Apartment 2444, Building 826, Al Nakheel, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0072,784-1979-2201287-0,Kristen Cunningham,British,1979-01-30,Female,"Apartment 1016, Building 333, Al Majaz, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0073,784-1986-9469367-3,Jamie Ahmed,Bangladeshi,1986-09-14,Female,"Apartment 2213, Building 96, City Center, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0074,784-1989-9402745-1,Khalid Al Mazrouei,Jordanian,1989-05-05,Male,"Apartment 777, Building 772, City Center, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0075,784-1977-3804738-0,James Baker,American,1977-11-02,Male,"Apartment 880, Building 146, Al Karama, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0076,784-1992-8907462-8,Sara Al Qasimi,UAE,1992-03-12,Female,"Apartment 436, Building 23, Khalifa City, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0077,784-2001-3951168-8,Steven Garcia,British,2001-12-21,Male,"Apartment 1972, Building 730, Tourist Club, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0078,784-1981-2374971-9,Rashid Al Shamsi,UAE,1981-02-15,Male,"Apartment 802, Building 853, Satwa, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0079,784-1990-1343612-9,Angela Brady,American,1990-09-03,Female,"Apartment 2213, Building 74, Jumeirah, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0080,784-1986-9866088-0,Sara Al Nahyan,Lebanese,1986-11-19,Female,"Apartment 2258, Building 435, Al Qasimia, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0081,784-1997-8761745-1,Yvonne Rahman,Bangladeshi,1997-07-12,Female,"Apartment 144, Building 301, Al Karama, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0082,784-2003-6240422-2,Christopher Howe,Egyptian,2003-03-19,Male,"Apartment 2158, Building 246, Downtown, Dubai, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0083,784-1971-6227050-1,Luke Patel,Bangladeshi,1971-02-13,Male,"Apartment 1249, Building 272, Al Qasimia, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0084,784-1999-2445977-5,Katherine Sharma,Bangladeshi,1999-10-17,Female,"Apartment 1343, Building 757, City Center, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0085,784-1967-7266535-8,Fatima Al Maktoum,Lebanese,1967-07-08,Female,"Apartment 1544, Building 731, City Center, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0086,784-1988-6347279-1,Charles Khan,Bangladeshi,1988-09-03,Male,"Apartment 1354, Building 280, Al Nakheel, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0087,784-2002-2941492-8,Aisha Al Shamsi,UAE,2002-03-27,Female,"Apartment 1002, Building 183, Al Nakheel, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0088,784-1990-9478337-7,Saeed Al Shamsi,Palestinian,1990-07-22,Male,"Apartment 105, Building 2, Tourist Club, Abu Dhabi, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0089,784-1983-8449313-3,Tammy Scott,American,1983-11-09,Female,"Apartment 2149, Building 799, Al Qasimia, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0090,784-1971-8547849-3,Saeed Al Mazrouei,Palestinian,1971-12-19,Male,"Apartment 758, Building 363, City Center, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0091,784-1979-8426759-0,Christopher Ahmed,Bangladeshi,1979-02-23,Male,"Apartment 1609, Building 151, Al Majaz, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0092,784-1973-7019235-5,Victoria Wyatt,American,1973-08-05,Female,"Apartment 1951, Building 540, City Center, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0093,784-1995-1889246-2,Melissa Mcbride,British,1995-11-27,Female,"Apartment 2049, Building 907, Al Nakheel, Sharjah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0094,784-1981-1272971-0,Hamad Al Shamsi,Palestinian,1981-01-13,Male,"Apartment 382, Building 216, Al Qasimia, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0095,784-1987-1653838-3,Amna Al Qasimi,UAE,1987-09-18,Female,"Apartment 2069, Building 758, Al Nakheel, Umm Al Quwain, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0096,784-1985-9736952-9,Guy Khan,Pakistani,1985-08-01,Male,"Apartment 970, Building 131, Al Qasimia, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0097,784-1995-2177081-3,Shaikha Al Mazrouei,Jordanian,1995-10-13,Female,"Apartment 1233, Building 397, Al Qasimia, Ras Al Khaimah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0098,784-1988-4518597-8,Jessica Ali,Indian,1988-01-22,Female,"Apartment 2062, Building 983, Al Nakheel, Fujairah, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0099,784-1992-3600972-7,Aisha Al Shamsi,Palestinian,1992-05-07,Female,"Apartment 307, Building 20, Al Qasimia, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
APP-2024-0100,784-1984-6788047-9,Mariam Al Qasimi,Syrian,1984-03-12,Female,"Apartment 2201, Building 598, Al Majaz, Ajman, UAE",15/03/2020,15/03/2030,Federal Authority for Identity and Citizenship
